"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
33,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 19:24:08.585+00","2022-11-06 19:24:20.642+00",0,-47.0,62
34,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 21:03:41.34+00","2022-11-06 21:03:45.873+00",204,-84.0,56
35,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 21:04:16.186+00","2022-11-06 21:05:07.287+00",0,-30.0,56
36,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 21:04:40.924+00","2022-11-06 21:05:35.4+00",29,-65.0,100
37,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 21:05:23.553+00","2022-11-06 21:06:15.373+00",11,-57.0,56
38,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 21:05:52.317+00","2022-11-06 21:06:50.241+00",32,-61.0,100
39,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 21:06:46.296+00","2022-11-06 21:06:46.334+00",7,-58.0,56
40,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 22:02:43.093+00","2022-11-06 22:02:43.093+00",15,-58.0,55
41,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 22:07:51.769+00","2022-11-06 22:07:51.769+00",8,-55.0,55
42,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 22:02:48.256+00","2022-11-06 22:02:48.256+00",43,-61.0,100
43,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 22:08:14.787+00","2022-11-06 22:08:14.787+00",16,-64.0,55
44,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 22:21:19.823+00","2022-11-06 22:23:45.36+00",11,-55.0,57
45,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 22:24:15.844+00","2022-11-06 22:25:11.841+00",4,-54.0,57
46,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 22:21:23.665+00","2022-11-06 22:25:07.48+00",8,-55.0,100
47,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 17:29:25.343+00","2022-11-07 17:29:54.171+00",2,-49.0,19
48,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 17:29:44.174+00","2022-11-07 17:32:41.216+00",8,-53.0,75
49,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 17:47:26.419+00","2022-11-07 17:47:37.378+00",10,-56.0,75
50,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 17:30:30.225+00","2022-11-07 17:50:29.283+00",2,-49.0,19
51,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:04:52.955+00","2022-11-07 18:05:04.594+00",24,-59.0,74
52,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:04:36.651+00","2022-11-07 18:18:56.35+00",19,-74.0,15
53,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:05:20.452+00","2022-11-07 18:07:15.849+00",31,-71.0,74
54,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:14:36.889+00","2022-11-07 18:14:48.136+00",9,-59.0,74
55,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:19:12.184+00","2022-11-07 18:19:29.369+00",3,-49.0,13
56,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:40:29.217+00","2022-11-07 18:40:45.451+00",29,-66.0,9
57,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:41:01.307+00","2022-11-07 18:43:55.291+00",17,-63.0,9
58,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:46:45.691+00","2022-11-07 18:46:45.907+00",40,-61.0,8
59,"b6661f70-3752-433b-9b22-6446c959522c","207ff938-b66d-4137-8343-7088616af16f","2022-11-07 18:47:03.299+00","2022-11-07 18:48:30.662+00",26,-61.0,8
60,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:40:47.11+00","2022-11-07 18:42:42.89+00",21,-59.0,72
61,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:46:59.528+00","2022-11-07 18:49:53.135+00",46,-59.0,71
62,"207ff938-b66d-4137-8343-7088616af16f","b6661f70-3752-433b-9b22-6446c959522c","2022-11-07 18:55:59.285+00","2022-11-07 18:56:21.093+00",108,-61.0,71
