"id","userid","anotheruser","firstcontacttimestamp","lastcontacttimestamp","distance","rssi","batterylevel"
1,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:43:05.352-03","2022-11-06 12:43:05.352-03",146,-71.0,76
2,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:43:15.35-03","2022-11-06 12:44:25.351-03",43,-32.0,76
3,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:44:35.354-03","2022-11-06 12:44:45.344-03",156,-69.0,76
4,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:44:55.346-03","2022-11-06 12:45:15.344-03",271,-84.0,76
5,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:45:25.347-03","2022-11-06 12:47:15.346-03",159,-64.0,76
6,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:47:25.344-03","2022-11-06 12:50:05.345-03",43,-61.0,76
7,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:50:15.343-03","2022-11-06 12:50:55.345-03",190,-74.0,77
8,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938b66d413783437088616af16f","2022-11-06 12:51:05.344-03","2022-11-06 12:51:15.345-03",84,-55.0,77
9,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 12:55:06.374-03","2022-11-06 12:55:06.374-03",413,-83.0,77
10,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 12:55:21.386-03","2022-11-06 12:55:21.386-03",586,-88.0,77
11,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 12:55:45.346-03","2022-11-06 12:56:38.412-03",265,-72.0,77
12,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 13:19:55.931-03","2022-11-06 13:22:15.345-03",13,-60.0,77
13,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 13:23:29.093-03","2022-11-06 13:25:35.343-03",40,-64.0,77
14,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 13:26:15.345-03","2022-11-06 13:28:01.148-03",25,-61.0,77
15,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 13:39:50.874-03","2022-11-06 13:40:06.385-03",136,-74.0,98
16,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 13:34:15.343-03","2022-11-06 13:34:57.552-03",8,-51.0,76
17,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 13:41:01.401-03","2022-11-06 13:48:22.45-03",9,-61.0,98
18,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 13:58:41.458-03","2022-11-06 13:58:41.487-03",13,-56.0,98
19,"a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","207ff938-b66d-4137-8343-7088616af16f","2022-11-06 16:23:47.886-03","2022-11-06 16:23:47.886-03",2,-48.0,62
20,"207ff938-b66d-4137-8343-7088616af16f","a39c88d5-33b1-4ef2-a5c2-4bfe08cedf6a","2022-11-06 16:23:34.241-03","2022-11-06 16:24:24.039-03",4,-51.0,100
